stone,physical_description
apache tears,"A form of obsidian, these nuggets are usually round or oval, black-brown in color, and can be semi-transparent or translucent when polished and held up to light. The name is the result of a legend surrounding the grief of the wives and families of a group of Apache warriors who lept to their death from a cliff after being surrounded and outnumbered in a battle with the U.S. cavalry in the 1870s.
"
obsidian,"Obsidian is a volcanic glass created when lava erupts from a volcano, but only when certain conditions are met:
Obsidian sits at a 5-5.5 on the Mohs scale of hardness. It breaks to form very sharp edges, and was therefore used since ancient times for arrowheads and other tools.
Because is has no crystal structure, obsidian blades can reach molecular thinness. It has been used experimentally in modern times by some surgeons because its cutting edge is many times sharper than surgical steel, and much smoother, creating a cleaner cut with less tissue damage, inflammation, and scarring.
Pure obsidian is dark, but impurities can result in dark green, brown, black, and gray coloring. Other impurities result in stones known as snowflake obsidian, golden obsidian, apache tears, and rainbow obsidian.
Obsidian is found in many places in North America, Armenia, Italy, Mexico, Greece, and Scotland.
Obsidian is not technically a “gemstone” but instead a naturally occurring glass, but it is used for jewelry nonetheless–particularly apache tears and snowflake obsidian.
"
apatite,"Apatite is not a well known gemstone, and actually has more uses outside the field of jewelry. Apatite is a soft stone, and can be very brittle.
Apatite is a mineral that sits at a five on the Mohs Scale. Most commonly seen in green tones, it can also bee found in yellows, pinks, browns, violets, and blues. Apatite crystals typically grow in hexagonal (six sided) shapes.
The name apatite is derived from Greek meaning “to deceive” likely because it was often mistaken for other, more valuable gemstones, like peridot, tourmaline, and emerald. Apatite is found in igneous, sedimentary, and metamorphic rock, but only the latter grows larger crystals suitable for jewelry.
Apatite is found in many different parts of the world: Eastern Canada, Germany, India, Madagascar, Brazil, Burma, Mexico, Czechoslovakia, Mozambique, Norway, South Africa, Spain, Sri Lanka, and the United States.
Because apatite is so soft, a lot of people will lean away from putting apatite in jewelry. However, if a setting is carefully chosen, it can result in a beautiful piece. When shopping for apatite, remember that the more intense the color, the more it is worth.
"
aquamarine,"Aquamarine is a brilliant, blue colored gemstone. The color of aquamarine ranges from pale blue to dark blue, and sometimes a bluish green. It is sometimes mistaken for the less expensive blue topaz.
Aquamarine sits at a 7.5 – 8 on the Mohs scale (somewhere between quartz and topaz). It is a member of the beryl family, along with emerald, morganite, and bixbite (red emerald). Aquamarine’s name comes from Latin, meaning water and sea.
The best quality aquamarine sources are in Brazil. It is also found in Russia, Nigeria, Zambia, Madagascar, Mozambique, Afghanistan, Pakistan, and parts of the United States.
Aquamarine is a favorite stone of many:
In the past, sailors wore aquamarine to ward off seasickness and encourage safe travel. Some saw it as a stone of eternal youth.
Because aquamarine is a hard stone, it is safe for all forms of jewelry, such as rings, pendants, and earrings. It is also hard enough to be faceted for fine jewelry, making it suitable for engagement rings.
Clean your aquamarine often to keep it stunning. The color pales when dirt collects around the stone. Keep this in mind when buying lighter or pale colored stones.
Be careful not to mistake blue topaz gemstones for aquamarine. Topaz is beautiful as well, but is less expensive than aquamarine. Another imitation of aquamarine is a form of spinel called aquamarine spinel.
Aquamarine gems are often heat treated to enhance the color. When purchasing one of these stones, be sure to ask if it is natural or treated.
"
aragonite,"Aragonite is a calcium carbonate mineral, like calcite, but slightly harder. It can be found in various colors such as red, white, gray, and blue. Also like calcite, it can be found in the shells of many sea animals, and is a component of pearls.
"
aventurine,"Aventurine is a member of the quartz family, along with carnelian, amethyst, and citrine. It is commonly found in a forest green color, but can also be found in orange, yellow, brown, gray, and blue.
Aventurine can be recognized by the flecks of mineral inclusions that give it a sparkly look. Because of this, aventurine is sometimes mistaken for goldstone, which is a man-made sparkly glass material. Side by side, goldstone’s flecks look unnaturally uniform compared to aventurine.
Aventurine sits at a 6.5 on the Mohs Scale. Aventurine’s name comes from Italian, “A Ventura”, meaning “by chance”.
Aventurine is found in many places in the world such as Brazil, China, Japan, Russia, Tanzania, and the United States. Green Aventurine is most commonly found in India, while Chile, Spain, and Russia account from good quality white, gray, orange, and gray material.
Aventurine is a common and inexpensive gemstone that is available in many different shapes and styles.
Aventurine is the star sign for Libra, and the planetary stone for Taurus. It is also the gemstone for your 8th year of marriage.
"
azurite,"Azurite is a deep dark blue colored mineral found all over the world. Azurite has been used in jewelry and other adornments since ancient times, and in modern times has been used for centuries as a pigment or dye as well as in jewelry.
Azurite is a fairly soft mineral, only a 3.5-4 on the Mohs scale of hardness. Azurite is often found growing alongside malachite, sometimes even growing together in one stone. Geologists and mineralogists use azurite to approximate the location of copper deposits as azurite (as well as malachite) are byproducts of copper, forming as the deposit weathers.
Azurite is found in many parts of the world including the United States, Australia, Chile, Peru, France, Namibia, Russia, and Egypt.
Azurite is a similar blue color to lapis lazuli, although the latter has glittery inclusions that are not present in azurite.
Azurite loses the intensity of its color over time if exposed to light, heat, and open air. Its softness means it will not hold up in all settings and because heating destroys azurite, only cold settings can be used. When wearing azurite, be careful to not wear it for long periods of time outside, and store it in a sealed container if possible away from harder stones that could scratch it. This will help maintain the brilliant color.
"
black tourmaline,"Tourmaline comes in several colors, like black, red, pink, green, and a green and pink combo called watermelon tourmaline. Black tourmaline is sometimes called schorl. Black tourmaline is the most affordable color.
"
bloodstone,"Bloodstone is a forest green variety of jasper (a type of chalcedony) with red inclusions that give it its name. Its mineral name is heliotrope. Sometimes yellow jasper is also found in bloodstone, but it is not typical.
It is a relatively hard stone, a 7 on the Mohs Scale of Hardness. Bloodstone is found primarily in India, but also found in Australia, Brazil, China, Russia, and the Czech Republic.
In the Middle Ages, people believed the red spots found on bloodstone were drops of the blood of Jesus that turned to stone when they fell from his body onto the earth during the crucifixion.
Bloodstone has a unique and uncommon color combination, which can sometimes make it challenging to combine with other beads in jewelry without the results seeming too “busy”. Therefore it may be best suited as a solo piece such as in a pendant.
No two pieces are alike. Quality, location, and other factors affect the look of a finished bloodstone piece, so matching new pieces with an existing piece can prove difficult. If you are purchasing a pendant in this stone, it would be worthwhile asking if there are any other accessories on site that were cut from the same slab, as this will likely be your best match.
Bloodstone was the traditional birthstone for March. March’s birthstone is now Aquamarine, with Bloodstone listed as one of its alternative stones.
"
blue chalcedony,"Chalcedony is a subset of quartz. Other chalcedony stones include agate, bloodstone, carnelian, chrysoprase, jasper, and onyx.
Blue chalcedony can be confused with blue lace agate. They can be a similar blue color, but blue lace agate has lacy white banding, whereas blue chalcedony is generally a solid color. Technically, agate is also a chalcedony, it just is not usually referred to that way.
"
blue lace agate,"Agate is a member of the quartz family of minerals and is a 7 on the Mohs scale of hardness. Blue lace agate contains bands of light blue and white and is fairly commonly available.
"
calcite,"Calcite is a soft stone consisting of calcium carbonate. It is abundantly available and occurs in a variety of colors, and ranges from transparent to opaque.
"
carnelian,"A reddish-orange, or reddish-brown colored gemstone from the chalcedony family of quartz. It has a warm, uniform, and easily distinguishable color.
Carnelian sits at a 6.5 – 7 on the Mohs scale. It is a member of the quartz family. Carnelian is derived from the Latin word meaning horn. Carnelian is also spelled ‘cornelian’ and has also been referred to as Mecca Stone, Pigeon’s blood Agate, and Sadoine.
The best quality carnelian is found in India but it is also found in many other parts of the world including Uruguay, Brazil, Japan, Botswana, and Madagascar. In the United States, carnelian can be found in Texas, North Carolina, Colorado, and Florida.
Carnelian  is relatively inexpensive. It is often found in antique jewelry and provides a perfect surface for engraving. Carnelian is usually fashioned in a cabochon cut and accents especially well on silver. Its translucency is especially apparent in pendants, and it is how many people prefer to wear this beautiful gemstone. Carnelian works well with fall colors.
Carnelian is sometimes listed as a birthstone for August and the astrological sign Virgo.
"
celestite,"Celestite (also known as Celestine) is a soft mineral made of strontium sulfate. It is only around 3 on the Mohs scale of hardness, which means it’s important to protect your celestite gems and jewelry from getting scratched by metal and harder gemstones.
Celestite is most commonly sold in the light blue-grey color, although other colors exist.
"
charoite,"Charoite is striking purple stone found only in a small area of Siberia in Russia near the Chara River, which it was named after. It is a silicate mineral and was discovered in the 1940s. It is also sometimes called cherolite.
It ranges in shade from purple to lavender and has swirly patterns that can include white and black that are reminiscent of a Van Gogh painting.
"
chrysocolla,"Chrysocolla is a very soft stone, only a 2 to 4 on the Mohs Scale, making it hard to turn into jewelry unless it is mixed with a harder stone. It is found in a bluish green color that reminds many people of how earth looks from space.
Chrysocolla grows in large sizes and in not considered rare or hard to find. It is found in the Czech Republic, Israel, England, Congo, and the United States. In the U.S. Chrysocolla is found in Utah, Arizona, New Mexico, and Pennsylvania. Chrysocolla is often found alongside quartz, copper minerals, azurite, and limonite.
Chrysocolla is very soft, which makes it difficult on its own to work with. This beautiful stone can be found, however, mixed with quartz or in a druzy style that is attractive and easier to work with.
"
chrysoprase,"Chrysoprase is a member of the quartz family and is a variety of chalcedony. It is usually found in a beautiful apple green color, but sometimes is found in a deeper green. Chrysoprase is translucent and very bright in color.
Chrysoprase sits at a 6-7 on the Mohs Scale. The name chrysoprase comes from Greek meaning gold leek. Chrysoprase is also sometimes referred to as “Australian Jade”.
The best quality chrysoprase seems to be coming from Australia, but it is also found in Queensland, Germany, Tanzania, Poland, Russia, and Brazil. In the United States it is found in Arizona and California.
Chrysoprase is one of the rarer members of the quartz family and many people consider it to be a prized piece in their collections. Chrysoprase unique color comes from the traces of nickel found in it.
"
diamonds,"Diamonds are pure carbon and are the hardest of any stone. They are generally thought of as clear, but actually come in many colors.
Raw or rough diamonds can also be used for metaphysical or spiritual healing and are much, much less expensive than cut diamonds.
Simulated diamonds are not diamonds, they just look like they could pass for diamonds. Many stones are sold to look like diamonds, such as cubic zirconia, white sapphire, spinel, or zircon.
Synthetic diamonds are lab-created diamonds. They are the same material as diamonds that are mined from the ground, but they are human-made.
Pave diamonds are real diamonds that are very small, and generally of lower quality that are set as accents in one or more rows. Pave is therefore a type of setting rather than a type of diamond. It is sometimes used in combination with a larger, higher quality diamond to enhance the brilliance of the piece, as seen here.
"
diopside,"Diopside is a pyroxene silicate mineral with a monoclinic crystal structure. It is a medium-hard stone, sitting at around 5-6 on the Mohs scale.
Green is the most common type of gemstone-quality Diopside, often called Chrome Diopside due to chrome being the reason it is bright green. The second most common color is dark grey or black, which is sometimes cut to show a cat-eye or star effect and called Black Star Diopside.
"
dumortierite,"Dumortierite is an aluminum boro-silicite mineral and is usually a dark blue or indigo color. Violet, red-brown, or blue-green dumortierite can also be found. Dumortierite crystallizes in the orthorhombic system and can be found in aluminum-rich metamorphic rock. Dumortierite can also be found as inclusions in quartz. Besides jewelry, dumortierite is also used to manufacture porcelain.
"
emerald,"Emerald is a green variety of beryl. Emerald is considered a precious gem, and has been prized since ancient Egypt. The finest emeralds come from Columbia and the South American region in general.
"
fluorite,"Pure fluorite is actually white or colorless, but trace minerals give it many colors. Fluorite is transparent in most cases. The most commonly recognized fluorite color is a purple-blue mix but it is also found in blue, green, red and yellow colors.
Fluorite sits at a 4 on the Mohs Scale, which is very soft. The word “flourescent” is derived from flourite. Flourescence is the property of emitting light that has been absorbed previously–in essence, glowing. Generally minerals that are flourescent absorb ultra-violet light and then emit visible light, therefore the effect can only be seen by shining a UV light (black light) on them.
Not all flourite is flourescent. Pieces harvested side by side from the same site can respond differently to black light–the effect depends on the exact mineral makeup of each specimen.
Fluorite is found in many parts of the world including Germany, Austria, Switzerland, England, Norway, Mexico, Canada (Ontario), and the U.S. The largest producer of fluorite in the U.S. is Illinois, and is in fact their state mineral. Fluorite is also found in Missouri, Oklahoma, Colorado, New Mexico, Kentucky, Arizona, Ohio, New Hampshire, New York and Texas.
Flourite is relatively inexpensive, and surprisingly durable despite its softness, making it an excellent option for many designs.
"
garnets,"Garnet is popularly known as a dark red gemstone, but it actually a group of gemstones that can be a variety of colors. It has been found as early as the Bronze Age and was known in Egypt and ancient Sumeria.
The six subtypes of garnet are:
Almandine and pyrope garnet are the most common in jewelry.
Garnet was named after the pomegranate and is the birthstone for January.
"
golden obsidian,"A type of obsidian which occurs when gas bubbles from the original lava flow are trapped in the obsidian as it is forming. The impurities of the gasses cause a golden sheen to occur, giving the obsidian a golden appearance.
"
green amethyst,"Prasiolite (more commonly known as “green amethyst”) is a pale green form of quartz. There is a small amount of natural prasiolite, but almost all prasiolite on the market is artificially produced by heat-treaing amethyst. Amethyst usually turns yellow or orange, producing citrine, but with the addition of radiation, it turns green. 
Technically, amethyst is by definition purple, so it doesn’t make a lot of sense to call prasiolite “green amethyst”, but the name seems to have stuck.
"
green tourmaline,"Tourmaline comes in several colors such as black, pink, green, blue, and red. It is a silicate mineral with a hardness is a 7 on the Mohs scale. It has a distinctive striated appearance because of the columnar formations it grows in.
Green tourmaline is sometimes called Verdelite.
"
hematite,"Hematite is the mineral form of iron oxide. Hematite beads are striking, being shiny and black when polished. They are heavy for their size.
There are man-made stones called magnetic hematite, hematine, hemalyke, or hemalike that look very similar to hematite and are far more commonly sold for jewelry-making than natural hematite. Some are made of a mixture of ground up hematite and other minerals, and some are made entirely of other minerals. They are often labelled as hematite, so check your sources when buying this stone.
"
herkimer diamonds,"Herkimer Diamonds are somewhat of a misnomer, as they are actually a form of quartz in a diamond shape (i.e. double-terminated). They are found near Herkimer County, NY.
Some Herkimer Diamonds are smoky, but most are clear. While there are similarly-shaped quartz crystals found elsewhere, the ones near Herkimer are known for being especially hard and glossy.
"
howlite,"Howlite is white and gray with dark gray marbling. It is a relatively recently discovered mineral that was found by gypsum miners. It is a soft stone, around 3.5 on the Mohs hardness scale (between Calcite and Fluorite).
Howlite is always white and gray in its natural state, but because it is porous, it is often dyed different colors. It is most often dyed blue to imitate turquoise, as its veining pattern gives it a superficial resemblance. Because of this, Howlite is sometimes called “white turquoise” but it is not actually related to turquoise. Other names for it include “buffalo stone”.
How to tell them apart:
"
iolite,"A translucent violet gem which is also called cordierite, a silicate of aluminum and magnesium. Shows two or more colors depending on how it is viewed. The name comes from the Greek word for violet. It is mined in Brazil, Madagascar, India, Sri Lanka, and Burma.
"
jade,"Jade is actually two different minerals referred to by the same name. For centuries, two separate minerals were referred to and traded as jade because of their similarities. By the time a French mineralogist realized they were two different gems in the 1800s, it was too late. Today, they are differentiated into jadeite and nephrite, but often the two are still just called and sold as “jade”. Nephrite jade has long been revered by the Chinese, where it is called ‘Yu’. It is believed to reduce stress, and prolong life.
Nephrite Jade is a 6 to 6.5 and Jadeite is a 6 to 7 on the Mohs scale. Neither jade is an exceptionally hard stone, but both are very tough due to their microcrystalline structure. Because of this durability, jade was used by earlier civilizations for axes and weapons. Jade is an important part of the Chinese wedding ceremony as it is considered the concentrated essence of love. It has also been carved into ornaments, beads, and statues.
Jadeite is the more expensive variety and was originally introduced to Europe from the Americas where it was found by the conquistadors. It is actually not found in China. This variety of jade is found primarily in Burma and Guatemala. It comes in a wide range of colors including green, mottled green and white, whitish gray, pink, brown, mauve, yellow, orange, and lavender. Green jade of this variety is usually an apple green or emerald color. Colored jade (except green) is usually pale and unevenly tinted. It is more expensive because it is rarer, found in only a dozen places worldwide.
Nephrite jade is more common than jadeite and is found in mostly dark green shades. This type of jade is considered to be the “old and true Chinese jade”. Nephrite is slightly softer than it’s counterpart and is found in many countries including China, Russia, New Zealand, the United States, and Canada (British Columbia).
Due to jade’s toughness, it can be worn virtually anywhere. It is often carved and cut into cabochon styles for pendants, earrings, and rings. Jade can also be fashioned into a complete ring, much like the hematite rings you see. There are, however, many imitations of jade. “New Jade” is actually a gemstone called serpentine but looks almost identical. The easiest way to tell real jade apart is a basic scratch test (although this still isn’t a definitive test). Real jade should not be easily scratched by a knife while serpentine and many other imposters are. When purchasing jade, just make sure you trust the source and you should be fine. White jade can also be died to produce bright colors.
"
jasper,"Jasper is a member of the quartz family, specifically an opaque aggregate of microgranular quartz with various inclusions. It sits at a 6.5 – 7 on the Mohs scale. Its name comes from Greek “jaspis”, meaning “spotted stone”.
Jasper is found in many colors and patterns, resulting in many names for different varieties. Jasper types are usually named for their pattern. Colors of jasper include grayish blue, green, off-white, white, yellow, orange, red, pink, black, and brown. Jasper very rarely has a uniform color, as it often has other materials mixed in with it. There are over 50 varieties of jasper, often with a blotch like, or vein like pattern.
Jasper is one of the oldest known gemstones, and was very popular in ancient times. It has been written about in Greek, Hebrew, Assyrian, Persian and Latin prints, as well as the Bible.
Jasper is found in many locations including Canada, USA, Africa, Australia, China, France, Germany, India, Italy, Russia, Sicily, and Venezuela.
Most kinds of jasper are common and as such relatively inexpensive, and available in a wide variety of sizes and styles.
"
jet,"Jet is a type of lignite, a brownish-black low-grade variety of coal. Coal is a sedimentary rock that forms when decomposing organic materials are compressed under extreme pressure over long periods of time.
Jet is a non-crystalline organic gemstone formed by natural processes, like amber, pearl, and shungite. Jet sometimes contains inclusions of pyrite, giving it some sparkle.
Jet has been used in carvings and amulets since the Neolithic period. In Rome it was used in protective amulets, and the Victorians used it for rosary beads and jewelry to wear in periods of mourning. Jet is soft compared to say, sapphire, but it can be polished to a high-sheen and is relatively durable as a gemstone.
Whitby Jet is produced in Whitby, England, and is considered very high quality.
French Jet is not actually jet–it is black glass made to simulate jet. It became popular in the 19th century and is still easy to find in antiques. Real jet is lighter and warmer to the touch than glass.
Jet is sometimes referred to as black amber. This may be because they both can let off an electric charge when rubbed. However, amber is fossilized tree resin and forms in a completely different manner to jet, so this is a misnomer.
Azabache is the name for jet in Spanish, and generally refers to jet from the northern coast region of Spain. It is used as a protective stone in Spain and is very popular along the Camino de Santiago pilgrimage trails that run through Europe to the Spanish coast.
"
kunzite,"Kunzite is a pale pink to violet form of spodumene, a silicate mineral in the pyroxene group. It’s color comes from manganese. Kunzite is often heated and/or irradiated to enhance its color. It was discovered in 1902 by George Kunz, while working for Tiffany.
"
kyanite,"Kyanite is an aluminum silicate mineral that is often blue, but can also be found in many other colors, include white, black, green, orange, pink, and gray.
In its raw form it is often sold in spear shapes, which can flake off in splinters, so it’s good to take care when handling them.
"
labradorite,"Labradorite is a variety of feldspar. Although it has a dirty gray color in the rough, cut stones have a metallic lustre and an iridescent sheen suggestive of the Northern Lights (Aurora Borealis). When seen at the right angle, various shades of vivid blue, green, gold, purple, and other colors are revealed. These crystals are usually cut with at least one flat surface to bring out these colors.
Labradorite was named after the peninsula of Labrador in Canada, where it was discovered in 1770. It has since been found in other areas around the world. It is a 6-6.5 on the Mohs scale and is not expensive.
Spectrolite is a variety of labradorite with intense colors, originally found in Finland.
"
lapis lazuli,"A lovely blue gemstone composed mainly of lazurite and calcite. It was popular in ancient Egypt.
"
larimar,"A form of pale blue pectolite, usually containing inclusions of blue-green and white. It is only found in the Dominican Republic. Due to its rareness, it is often simulated by dying quartz a pale blue.
"
lepidolite,"Lepidolite is a mica, a group of glittery silicate minerals. It is sometimes found as an inclusion in tourmaline and quartz, giving a bit of shine to those stones. It is soft, a 2.5-3 on the Mohs scale. In its raw form it can be scaly, with pieces that flake off. It can be translucent and has a pearly luster. It is most often found in shades of purple, pink and lilac, although it can also be found in gray or yellow. It is so high in lithium it is actually mined as a source of lithium, and is sometimes called “lithium mica”.
Due to its softness, avoid using any harsh cleaners on your lepidolite jewelry–use warm soapy water and dry with a soft cloth. Store your lepidolite in its own pouch away from harder gemstones that might scratch it. Avoid wearing it during exercise or exposing it to high heat or pressure. With good care, lepidolite jewelry should last for many decades.
"
magnesite,"Magnesite is a soft magnesium carbonate mineral. Magnesite is generally white, but can be yellow, brown, or gray. It looks similar to howlite, and is commonly dyed to mimic turquoise or simply to create a more colorful stone. It is often mislabelled as “white turquoise”, but it’s not actually related to turquoise.
In addition to being used in beads and jewelry, magnesite is used in some industrial processes.
"
mahogany obsidian,"Mahogany Obsidian is a form of obsidian that is reddish-brown with black spots or stripes. It is named after the wood of mahogany trees.
"
malachite,"Malachite is found alongside copper deposits, and is very similar to azurite, another secondary mineral of copper. It forms when copper minerals reacts with carbonated water or limestone.
Malachite is a mineral that sits at a 3.5-4 on the Mohs scale of hardness. Malachite’s name comes from the Greek word “molochitis” meaning mallow-green stone. It is very rarely found in single crystals.
Malachite is only found in shades of green and has a very obvious and unique look. Imitation pieces may have black or white banding, although this mineral is rarely imitated as it is found in relative abundance.
Malachite is mined on a large scale in the Ural Mountains and is also found in Congo, Canada, Tsumeb, Namibia, Russia, Mexico, Zaire, Australia, England and Israel. In the United States, malachite has been found alongside copper deposits in California, Nevada, Utah, Pennsylvania, and Tennessee. Archeological evidence suggests this mineral has been mined and smelted for well over 3000 years.
Malachite is very soft, so if you are hard on your jewelry in general, malachite may not be for you. It is recommended that you do not use an ultrasonic cleanser on malachite.
"
moonstone,"A feldspar mineral gemstone that is pale and iridescent. In appearance it can be similar to some opals, although they are chemically different. Opals can be many different colors, and their iridescence contains many colors; in contrast, moonstone is always milky-white and its iridescence is limited to gray, peach, and blue tones.
"
morganite,"Morganite is pink beryl. This makes it related to emerald (green beryl) and aquamarine (blue beryl). The pink color of morganite is from manganese. It was named after J.P. Morgan. It is found in Madagascar, the United States, as well as Brazil and Africa.
High-grade translucent morganite is often faceted for fine jewelry, but you can also find rough specimens and lower-grade opaque semi-precious beads. The delicate peach color is often sought after for engagement and wedding rings.
photo credit
"
moss agates,"Moss agate contains green tendrils that resemble moss that grows on trees. Like most agate, it contains transparent to translucent patches.
"
